,year,month,day,country,title,text,hazard-category,product-category,hazard,product
10,1995,5,1,us,Recall Notification: FSIS-002-95,"Case Number: 002-95   
            Date Opened: 01/05/1995   
            Date Closed: 03/14/1995 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  08435  M   
              Name:  JOHN MCKENZIE PACKING CO
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  BURLINGTON    
            State:  VT   
            Country:  USA
    
            Product:  HOT DOGS
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  2,920   
            Pounds Recovered:  3",foreign bodies,prepared dishes and snacks,plastic fragment,hot dogs
11,1995,5,5,us,Recall Notification: FSIS-021-95,"Case Number: 021-95   
            Date Opened: 05/05/1995   
            Date Closed: 07/17/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  09060  P   
              Name:  HAROLD FOOD COMPANY
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  CHARLOTTE    
            State:  NC   
            Country:  USA
    
            Product:  CHICKEN SALAD
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  105   
            Pounds Recovered:  6",biological,"meat, egg and dairy products",listeria spp,chicken based products
12,1995,5,30,us,Recall Notification: FSIS-025-95,"Case Number: 025-95   
            Date Opened: 05/30/1995   
            Date Closed: 11/27/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  00880  M   
              Name:  GLAZIER PACKING
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  POTSDAM    
            State:  NY   
            Country:  USA
    
            Product:  FRANKFURTERS
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  3,780   
            Pounds Recovered:  126",biological,"meat, egg and dairy products",listeria monocytogenes,thermal processed pork meat
13,1995,6,11,us,Recall Notification: FSIS-038-95,"Case Number: 038-95   
            Date Opened: 11/06/1995   
            Date Closed: 04/12/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  N/A   
              Name:  GAINERS BURNS FOODS
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  18-B
    
            City:  EDMONTON    
            State:  F   
            Country:  CANADA
    
            Product:  HOT DOGS, PORK (FRANKS)
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  4,320   
            Pounds Recovered:  1,691",biological,prepared dishes and snacks,listeria monocytogenes,hot dogs
14,1995,7,12,us,Recall Notification: FSIS-041-95,"Case Number: 041-95   
            Date Opened: 12/07/1995   
            Date Closed: 02/22/1996 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  N/A   
              Name:  TH. S. VAN DER LAAN INT'L*
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  129
    
            City:  ALMELO    
            State:  F   
            Country:  THE NETHERLANDS
    
            Product:  CANNED LUNCHEON MEAT
    
            Problem:  DRUG   
            Description: SULFAMETHAZINE
    
            Total Pounds Recalled:  1,476   
            Pounds Recovered:  1,314",chemical,"meat, egg and dairy products",sulfamethazine unauthorised,Precooked cooked pork meat products
15,1995,8,2,us,Recall Notification: FSIS-006-95,"Case Number: 006-95   
            Date Opened: 02/08/1995   
            Date Closed: 04/04/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  06387  M   
              Name:  MAYABEQUE PRODUCTS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  NORTH BERGEN    
            State:  NJ   
            Country:  USA
    
            Product:  CHORIZOS
    
            Problem:  BACTERIA   
            Description: SALMONELLA
    
            Total Pounds Recalled:  6,780   
            Pounds Recovered:  2,988",biological,"meat, egg and dairy products",salmonella,chorizo
16,1995,10,1,us,Recall Notification: FSIS-003-95,"Case Number: 003-95   
            Date Opened: 01/10/1995   
            Date Closed: 04/04/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  05633  M   
              Name:  QUISTORFF ENTRPRS OF OSAKIS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  OSAKIS    
            State:  MN   
            Country:  USA
    
            Product:  SMOKED POLISH SAUSAGE
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  36   
            Pounds Recovered:  31",biological,"meat, egg and dairy products",listeria monocytogenes,smoked sausage
17,1996,3,4,us,Recall Notification: FSIS-009-96,"Case Number: 009-96  Recall Notification Report:  N
    
            Date Opened: 04/03/1996   
            Date Closed: 06/26/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01614  M   
              Name:  CORFU FOODS INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  BENSENVILLE    
            State:  IL   
            Country:  USA
    
            Product:  ROAST BEEF, SLICED
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  720   
            Pounds Recovered:  710",biological,"meat, egg and dairy products",listeria spp,thermal processed beef meat
18,1996,5,8,us,Recall Notification: FSIS-017-96,"Case Number: 017-96  Recall Notification Report:  N
    
            Date Opened: 08/05/1996   
            Date Closed: 12/02/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  08999  M   
              Name:  ROCHESTER MEATS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  ROCHESTER    
            State:  MN   
            Country:  USA
    
            Product:  GROUND BEEF PATTIES, FROZEN
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  152,000   
            Pounds Recovered:  5,862",biological,"meat, egg and dairy products",escherichia coli,frozen beef patties
19,1996,9,12,us,Recall Notification: FSIS-024-96,"Case Number: 024-96  Recall Notification Report:  N
    
            Date Opened: 12/09/1996   
            Date Closed: 12/03/1997 
    
            Recall Class:  1   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  09453  M   
              Name:  GOULDS COUNTRY STORE
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  PIERMONT    
            State:  NH   
            Country:  USA
    
            Product:  SLICED HAM
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  52   
            Pounds Recovered:  51",biological,"meat, egg and dairy products",listeria monocytogenes,sliced ham
20,1996,12,11,us,Recall Notification: FSIS-023-96,"Case Number: 023-96  Recall Notification Report:  N
    
            Date Opened: 11/12/1996   
            Date Closed: 06/23/1997 
    
            Recall Class:  3   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01494  M   
              Name:  DAKOTA PORK INDUSTRIES
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MITCHELL    
            State:  SD   
            Country:  USA
    
            Product:  HAM
    
            Problem:  MISBRANDED   
            Description: MISBRANDED
    
            Total Pounds Recalled:  23,280   
            Pounds Recovered:  9,140",fraud,"meat, egg and dairy products",incorrect labeling,ham
21,1997,2,6,us,Recall Notification: FSIS-006-97,"Case Number: 006-97  Recall Notification Report:  N
    
            Date Opened: 06/02/1997   
            Date Closed: 01/05/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00021  P   
              Name:  HESTER INDUSTRIES
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MOOREFIELD    
            State:  WV   
            Country:  USA
    
            Product:  COOKED CHICKEN
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  17,434   
            Pounds Recovered:  7,150",biological,prepared dishes and snacks,listeria spp,cooked chicken
22,1997,3,9,us,Recall Notification: FSIS-016-97,"Case Number: 016-97  Recall Notification Report:  N
    
            Date Opened: 09/03/1997   
            Date Closed: 03/30/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  02260Y P   
              Name:  ADVANCE MEAT COMPANY
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  ENID    
            State:  OK   
            Country:  USA
    
            Product:  GRILLED CHICKEN BREAST
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  3,042   
            Pounds Recovered:  219",foreign bodies,"meat, egg and dairy products",plastic fragment,chicken breast
23,1997,3,10,us,Recall Notification: FSIS-022-97,"Case Number: 022-97  Recall Notification Report:  N
    
            Date Opened: 10/03/1997   
            Date Closed: 08/14/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01092  M   
              Name:  KAYSERI BASTERMA INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Poughkeepsie    
            State:  NY   
            Country:  USA
    
            Product:  Kayseri Soujouk (dry sausage)
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  347   
            Pounds Recovered:  347",biological,"meat, egg and dairy products",listeria spp,sausage
24,1997,3,10,us,Recall Notification: FSIS-021-97,"Case Number: 021-97  Recall Notification Report:  N
    
            Date Opened: 10/03/1997   
            Date Closed: 03/02/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00053  M   
              Name:  BEEF AMERICA OPERATION CO. INC
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Norfolk    
            State:  NE   
            Country:  USA
    
            Product:  Ground Beef
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  443,656   
            Pounds Recovered:  400",biological,"meat, egg and dairy products",escherichia coli,ground beef
25,1997,7,3,us,Recall Notification: FSIS-010-97,"Case Number: 010-97  Recall Notification Report:  N
    
            Date Opened: 03/07/1997   
            Date Closed: 08/21/1997 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  06444  M   
              Name:  ANGUS MEATS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  SPOKANE    
            State:  WA   
            Country:  USA
    
            Product:  GROUND BEEF
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  1,427   
            Pounds Recovered:  115",biological,"meat, egg and dairy products",escherichia coli,ground beef
26,1997,7,10,us,Recall Notification: FSIS-023-97,"Case Number: 023-97  Recall Notification Report:  N
    
            Date Opened: 10/07/1997   
            Date Closed: 04/20/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00703  P   
              Name:  ZARTIC INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Rome    
            State:  GA   
            Country:  USA
    
            Product:  Breaded Chicken Patty Nuggets
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  21,660   
            Pounds Recovered:  7,935",foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
27,1997,11,8,us,Recall Notification: FSIS-014-97,"Case Number: 014-97  Recall Notification Report:  N
    
            Date Opened: 08/11/1997   
            Date Closed: 01/28/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  N/A   
              Name:  PIK VRBOVEC MESNA  INDUSTRIJA
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  10
    
            City:  VRBOVEC    
            State:  F   
            Country:  CROATIA
    
            Product:  ROAST BEEF W/GRAVY
    
            Problem:  DRUG   
            Description: SULFAMETHAZINE
    
            Total Pounds Recalled:  6,908   
            Pounds Recovered:  6,498",chemical,"meat, egg and dairy products",sulfamethazine unauthorised,thermal processed beef meat
28,1997,11,9,us,Recall Notification: FSIS-018-97,"Case Number: 018-97  Recall Notification Report:  N
    
            Date Opened: 09/11/1997   
            Date Closed: 09/11/1997 
    
            Recall Class:  1   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  N/A   
              Name:  GREAT VALUE SUPERMARKET
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  EMPORIA    
            State:  VA   
            Country:  USA
    
            Product:  GROUND BEEF
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  70   
            Pounds Recovered:  0",biological,"meat, egg and dairy products",escherichia coli,ground beef
29,1997,12,8,us,Recall Notification: FSIS-015-97,"Case Number: 015-97  Recall Notification Report:  N
    
            Date Opened: 08/12/1997   
            Date Closed: 02/09/1999 
    
            Recall Class:  1   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  13569  M   
              Name:  Hudson Foods
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Columbus    
            State:  NE   
            Country:  USA
    
            Product:  GROUND BEEF
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  25,000,000   
            Pounds Recovered:  10,104,439",biological,"meat, egg and dairy products",escherichia coli,ground beef
30,1997,12,9,us,Recall Notification: FSIS-017-97,"Case Number: 017-97  Recall Notification Report:  N
    
            Date Opened: 09/12/1997   
            Date Closed: 01/05/1998 
    
            Recall Class:  1   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  06431  M   
              Name:  BAVARIAN MEAT PRODUCTS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  SEATTLE    
            State:  WA   
            Country:  USA
    
            Product:  CERVELAT SEMI-DRY SAUSAGE
    
            Problem:  BACTERIA   
            Description: SALMONELLA
    
            Total Pounds Recalled:  450   
            Pounds Recovered:  696",biological,"meat, egg and dairy products",salmonella,sausage
31,1998,1,14,au,Balfour Wauchope—Cake with Icing,"PRA No. 1998/3436 Date published 14 Jan 1998 Product description Brands: Gibbs 400g, Sumners 350g & Foodlands 350g. Code Between 8002 And 8012. What are the defects? Rancid Taste In Icing. What are the hazards? Contamination. What should consumers do? Contact The Supplier Undertaking The Recall Action. Supplier Balfour Wauchope Pty Ltd Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Confectionery × Close",organoleptic aspects,cereals and bakery products,taste disturbance,cakes
32,1998,3,4,au,Hans Continental Smallgoods—Latvian Liverwurst,"PRA No. 1998/3492 Date published 4 Mar 1998 Product description Use By Date - 13 April 1998. Produced On 12 February 1998. 250gm Roll. Distributed Through All Major Supermarket Chains And Stores, For Example Coles And Woolworths. What are the defects? Possibility That Some Of The Product Has Only Been Partially Cooked. The Product Is Soft And Has An Off Smell When Opened. What are the hazards? Contamination. What should consumers do? Product Should Not Be Consumed. Any Consumers Of This Product Should Contact Their Doctor Immediately. For More Information Call 1800 060 909. Supplier Hans Continental Smallgoods Pty Ltd Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Meat, seafood and deli × Close",organoleptic aspects,"meat, egg and dairy products",abnormal smell,Precooked cooked pork meat products
33,1998,3,24,us,Recall Notification: FSIS-011-98,"Case Number: 011-98  Recall Notification Report:   
            RNR011-98
    
            Date Opened: 04/24/1998   
            Date Closed: 08/31/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00138  P   
              Name:  Vlasic Foods International
    
            Imported Product (Y/N):         
            Foreign Estab. Number:  N/A
    
            City:  Fayetteville    
            State:  AR   
            Country:  USA
    
            Product:  Boneless Chicken Dinners
    
            Problem:  MISBRANDED   
            Description: UNDECLARED SUBSTANCE
    
            Total Pounds Recalled:  9,888   
            Pounds Recovered:  1,926",allergens,"meat, egg and dairy products",allergens,chicken
